year,fips,totalvotes,DEMOCRAT,REPUBLICAN,OTHER,lagDEM,lagREP,lagOTH,Bac,Ass,High,Low,Civilian_labor_force,Unemployed,unemprate
2000,20155,25430,9025,15179,1226,NA,NA,NA,7435,13167,15022,7458,32232,1243,0.03856415984115165
2000,20157,2985,604,2239,142,NA,NA,NA,484,1760,1379,633,2965,89,0.030016863406408096
2000,20159,4520,1422,2903,195,NA,NA,NA,1114,2251,2160,1176,5187,197,0.03797956429535377
2000,20161,18253,6188,10672,1393,NA,NA,NA,1808,6591,9063,11896,30650,914,0.029820554649265904
2000,20163,2775,597,2016,162,NA,NA,NA,503,1617,1182,599,2724,92,0.033773861967694566
2000,20165,1854,505,1235,114,NA,NA,NA,441,834,872,421,1726,61,0.03534183082271147
2000,20167,3482,886,2434,162,NA,NA,NA,901,1903,1631,888,3534,146,0.041312959818902095
2000,20169,21527,7487,12412,1628,NA,NA,NA,4508,11979,11135,7058,29818,922,0.030920920249513716
2000,20171,2303,418,1811,74,NA,NA,NA,522,974,1103,777,2978,67,0.02249832102081934
2000,20173,163417,62561,93724,7132,NA,NA,NA,42147,82723,85897,71818,237680,9962,0.041913497139010436
2000,20175,5096,1126,3869,101,NA,NA,NA,4602,3408,2957,1723,10351,314,0.03033523331079123
2000,20177,74373,34818,35894,3661,NA,NA,NA,13267,37589,31759,29094,91254,3683,0.04035987463563241
2000,20179,1489,281,1132,76,NA,NA,NA,232,698,672,303,1483,33,0.022252191503708697
2000,20181,2682,681,1894,107,NA,NA,NA,578,1551,1542,648,3609,103,0.028539761706844
2000,20183,2184,534,1534,116,NA,NA,NA,514,1267,999,558,2168,62,0.02859778597785978
2000,20185,2200,567,1546,87,NA,NA,NA,557,946,1151,600,2279,74,0.03247038174637999
2000,20187,1029,215,785,29,NA,NA,NA,323,455,442,248,1261,31,0.02458366375892149
2000,20189,2111,345,1714,52,NA,NA,NA,642,1052,1017,576,2454,72,0.029339853300733496
2000,20191,10232,3549,6176,507,NA,NA,NA,2277,6293,5482,2610,12838,605,0.04712572051721452
2000,20193,3780,807,2822,151,NA,NA,NA,362,1506,1864,1246,4242,106,0.02498821310702499
2000,20195,1837,516,1220,101,NA,NA,NA,368,881,764,329,1661,43,0.02588801926550271
2000,20197,3420,1025,2182,213,NA,NA,NA,465,2104,1253,801,3728,126,0.03379828326180258
2000,20199,861,103,737,21,NA,NA,NA,181,416,341,195,928,21,0.022629310344827586
2000,20201,3267,687,2446,134,NA,NA,NA,858,1744,1277,693,3338,120,0.035949670461354104
2000,20203,1090,207,859,24,NA,NA,NA,362,534,477,252,1250,37,0.0296
2000,20205,4095,1186,2748,161,NA,NA,NA,1313,2581,2290,760,4983,201,0.0403371462974112
2000,20207,1595,521,974,100,NA,NA,NA,443,1072,848,304,1698,85,0.05005889281507656
2000,20209,48272,32411,14024,1837,NA,NA,NA,25121,33098,26753,11636,74200,4647,0.06262803234501348
2000,21001,7328,1779,5460,89,NA,NA,NA,4502,3509,2026,1233,8203,409,0.049859807387541144
2000,21003,6429,1950,4415,64,NA,NA,NA,4133,4563,1887,1060,8479,368,0.043401344498171956
2000,21005,7967,2902,4909,156,NA,NA,NA,2466,5419,3203,1512,10199,346,0.03392489459750956
2000,21007,3770,1880,1824,66,NA,NA,NA,1364,2332,1456,614,4221,249,0.058990760483297794
2000,21009,13844,4930,8741,173,NA,NA,NA,7865,10399,4632,2855,19340,885,0.04576008273009307
2000,21011,4473,2087,2303,83,NA,NA,NA,3053,2569,1080,749,4949,302,0.061022428773489595
2000,21013,10611,4787,5585,239,NA,NA,NA,8689,6644,2909,1800,9902,644,0.06503736618864876
2000,21015,31984,9248,22016,720,NA,NA,NA,8072,17771,15959,12364,49124,1441,0.02933393046168879
2000,21017,7102,3048,3881,173,NA,NA,NA,3199,5043,3021,1752,9996,327,0.032713085234093636
2000,21019,19182,9541,9247,394,NA,NA,NA,7641,12255,9911,4890,21471,1232,0.05737972148479344
2000,21021,10326,3963,6126,237,NA,NA,NA,4318,6351,4258,3564,13526,533,0.03940558923554636
2000,21023,3019,888,2065,66,NA,NA,NA,1659,2219,1062,520,4191,146,0.03483655452159389
2000,21025,5073,2902,2084,87,NA,NA,NA,4414,3239,1702,1038,5398,359,0.0665061133753242
