"year","state","fips","totalvotes","DEMOCRAT","REPUBLICAN","OTHER","lagDEM","lagREP","lagOTH"
2004,"LA","22109",40574,13684,26358,532,14414,21314,947
2008,"LA","22109",40696,11581,28210,905,13684,26358,532
2012,"LA","22109",42341,12074,29503,764,11581,28210,905
2016,"LA","22109",43896,10665,31902,1329,12074,29503,764
2020,"LA","22109",46240,11198,34339,703,10665,31902,1329
1948,"LA","22111",2856,724,259,1873,NA,NA,NA
1952,"LA","22111",3949,2055,1894,0,724,259,1873
1956,"LA","22111",3418,878,1384,1156,2055,1894,0
1960,"LA","22111",4063,1034,2017,1012,878,1384,1156
1964,"LA","22111",5689,1155,4534,0,1034,2017,1012
1968,"LA","22111",6746,1336,1113,4297,1155,4534,0
1972,"LA","22111",6157,1465,4322,370,1336,1113,4297
1976,"LA","22111",7905,3600,4139,166,1465,4322,370
1980,"LA","22111",9198,3841,5130,227,3600,4139,166
1984,"LA","22111",9723,2916,6585,222,3841,5130,227
1988,"LA","22111",9369,3210,5900,259,2916,6585,222
1992,"LA","22111",10069,4005,4434,1630,3210,5900,259
1996,"LA","22111",9543,4260,4418,865,4005,4434,1630
2000,"LA","22111",9343,3205,5772,366,4260,4418,865
2004,"LA","22111",10718,3089,7457,172,3205,5772,366
2008,"LA","22111",10868,3103,7619,146,3089,7457,172
2012,"LA","22111",10766,3075,7561,130,3103,7619,146
2016,"LA","22111",10894,2691,7972,231,3075,7561,130
2020,"LA","22111",11201,2654,8407,140,2691,7972,231
1948,"LA","22113",6261,1806,1212,3243,NA,NA,NA
1952,"LA","22113",9129,5261,3868,0,1806,1212,3243
1956,"LA","22113",8695,4564,3877,254,5261,3868,0
1960,"LA","22113",14595,11257,2170,1168,4564,3877,254
1964,"LA","22113",14188,9204,4984,0,11257,2170,1168
1968,"LA","22113",15208,3806,3278,8124,9204,4984,0
1972,"LA","22113",13420,3876,8909,635,3806,3278,8124
1976,"LA","22113",17850,11246,6133,471,3876,8909,635
1980,"LA","22113",21409,9743,10481,1185,11246,6133,471
1984,"LA","22113",22378,9033,12721,624,9743,10481,1185
1988,"LA","22113",21966,12180,9224,562,9033,12721,624
1992,"LA","22113",23444,12324,7062,4058,12180,9224,562
1996,"LA","22113",22661,12609,7653,2399,12324,7062,4058
2000,"LA","22113",22235,8704,12495,1036,12609,7653,2399
2004,"LA","22113",24552,9085,15069,398,8704,12495,1036
2008,"LA","22113",24833,6266,18069,498,9085,15069,398
2012,"LA","22113",24987,5720,18910,357,6266,18069,498
2016,"LA","22113",25632,4857,20063,712,5720,18910,357
2020,"LA","22113",27324,5009,21930,385,4857,20063,712
1948,"LA","22115",4582,1939,296,2347,NA,NA,NA
1952,"LA","22115",5962,3832,2130,0,1939,296,2347
1956,"LA","22115",4762,2158,2372,232,3832,2130,0
1960,"LA","22115",6160,3145,1991,1024,2158,2372,232
1964,"LA","22115",7260,3564,3696,0,3145,1991,1024
1968,"LA","22115",8606,1496,1574,5536,3564,3696,0
1972,"LA","22115",8020,1345,6225,450,1496,1574,5536
1976,"LA","22115",10465,6202,3970,293,1345,6225,450
1980,"LA","22115",13436,7198,5869,369,6202,3970,293
1984,"LA","22115",13369,4076,9035,258,7198,5869,369
1988,"LA","22115",12761,4998,7453,310,4076,9035,258
1992,"LA","22115",14767,6005,5912,2850,4998,7453,310
1996,"LA","22115",13966,6195,5449,2322,6005,5912,2850
2000,"LA","22115",13827,4655,8794,378,6195,5449,2322
2004,"LA","22115",15229,4035,11032,162,4655,8794,378
2008,"LA","22115",15769,3534,11946,289,4035,11032,162
2012,"LA","22115",15610,3173,12150,287,3534,11946,289
2016,"LA","22115",16633,2665,13471,497,3173,12150,287
2020,"LA","22115",17268,2898,14107,263,2665,13471,497
1948,"LA","22117",7801,3267,371,4163,NA,NA,NA
1952,"LA","22117",9852,7420,2432,0,3267,371,4163
1956,"LA","22117",8047,4658,3081,308,7420,2432,0
1960,"LA","22117",11400,5678,1847,3875,4658,3081,308
1964,"LA","22117",12263,4825,7438,0,5678,1847,3875
1968,"LA","22117",15718,3021,1695,11002,4825,7438,0
1972,"LA","22117",12196,2947,8162,1087,3021,1695,11002
1976,"LA","22117",16073,10000,5677,396,2947,8162,1087
1980,"LA","22117",19472,10413,8681,378,10000,5677,396
1984,"LA","22117",18988,7680,11185,123,10413,8681,378
1988,"LA","22117",18094,8369,9374,351,7680,11185,123
1992,"LA","22117",18753,9095,7227,2431,8369,9374,351
1996,"LA","22117",18023,9603,6642,1778,9095,7227,2431
2000,"LA","22117",16887,7399,8983,505,9603,6642,1778
2004,"LA","22117",17841,6554,11006,281,7399,8983,505
2008,"LA","22117",18624,6122,12215,287,6554,11006,281
2012,"LA","22117",18581,6466,11798,317,6122,12215,287
2016,"LA","22117",18628,5692,12556,380,6466,11798,317
2020,"LA","22117",19513,5970,13307,236,5692,12556,380
1948,"LA","22119",5291,1933,455,2903,NA,NA,NA
1952,"LA","22119",7986,4544,3442,0,1933,455,2903
1956,"LA","22119",6733,2352,3280,1101,4544,3442,0
1960,"LA","22119",7667,1273,3139,3255,2352,3280,1101
1964,"LA","22119",9932,1755,8177,0,1273,3139,3255
1968,"LA","22119",14013,2871,2496,8646,1755,8177,0
1972,"LA","22119",12349,2859,8829,661,2871,2496,8646
1976,"LA","22119",15017,7286,7550,181,2859,8829,661
1980,"LA","22119",17647,8568,8865,214,7286,7550,181
1984,"LA","22119",18677,6509,12055,113,8568,8865,214
1988,"LA","22119",17805,7434,10204,167,6509,12055,113
1992,"LA","22119",18264,8380,6640,3244,7434,10204,167
1996,"LA","22119",17517,9688,6153,1676,8380,6640,3244
2000,"LA","22119",17090,7197,9420,473,9688,6153,1676
2004,"LA","22119",18449,6833,11070,546,7197,9420,473
2008,"LA","22119",18270,6610,11417,243,6833,11070,546
2012,"LA","22119",18416,6802,11400,214,6610,11417,243
2016,"LA","22119",18145,6260,11542,343,6802,11400,214
2020,"LA","22119",18216,6172,11830,214,6260,11542,343
1948,"LA","22121",1167,557,141,469,NA,NA,NA
1952,"LA","22121",1984,1280,704,0,557,141,469
1956,"LA","22121",2314,1208,1035,71,1280,704,0
1960,"LA","22121",3141,2315,390,436,1208,1035,71
1964,"LA","22121",3727,1892,1835,0,2315,390,436
1968,"LA","22121",5254,2016,669,2569,1892,1835,0
1972,"LA","22121",4942,1849,2626,467,2016,669,2569
1976,"LA","22121",5884,3809,1913,162,1849,2626,467
1980,"LA","22121",7753,4739,2828,186,3809,1913,162
1984,"LA","22121",8883,4631,4189,63,4739,2828,186
1988,"LA","22121",8801,4686,3972,143,4631,4189,63
1992,"LA","22121",9976,5131,3522,1323,4686,3972,143
1996,"LA","22121",9798,5697,3254,847,5131,3522,1323
2000,"LA","22121",10169,5058,4924,187,5697,3254,847
2004,"LA","22121",10835,4932,5822,81,5058,4924,187
2008,"LA","22121",11866,5043,6654,169,4932,5822,81
2012,"LA","22121",12774,5692,6922,160,5043,6654,169
2016,"LA","22121",12712,5383,6927,402,5692,6922,160
2020,"LA","22121",14097,6200,7684,213,5383,6927,402
1948,"LA","22123",2297,921,151,1225,NA,NA,NA
1952,"LA","22123",3438,2040,1398,0,921,151,1225
1956,"LA","22123",2622,875,658,1089,2040,1398,0
1960,"LA","22123",2423,784,742,897,875,658,1089
1964,"LA","22123",3412,395,3017,0,784,742,897
1968,"LA","22123",4554,395,585,3574,395,3017,0
1972,"LA","22123",3880,571,2997,312,395,585,3574
1976,"LA","22123",5112,2595,2407,110,571,2997,312
1980,"LA","22123",5712,2118,3430,164,2595,2407,110
1984,"LA","22123",5469,1474,3874,121,2118,3430,164
1988,"LA","22123",4797,1607,3077,113,1474,3874,121
1992,"LA","22123",5120,2068,2082,970,1607,3077,113
1996,"LA","22123",4764,1853,2366,545,2068,2082,970
2000,"LA","22123",4675,1319,3220,136,1853,2366,545
2004,"LA","22123",5033,1231,3740,62,1319,3220,136
2008,"LA","22123",4987,878,4045,64,1231,3740,62
2012,"LA","22123",4548,853,3628,67,878,4045,64
2016,"LA","22123",4759,715,3970,74,853,3628,67
2020,"LA","22123",5052,710,4317,25,715,3970,74
1948,"LA","22125",582,101,102,379,NA,NA,NA
1952,"LA","22125",782,279,503,0,101,102,379
1956,"LA","22125",784,296,442,46,279,503,0
1960,"LA","22125",891,271,196,424,296,442,46
1964,"LA","22125",1120,223,897,0,271,196,424
1968,"LA","22125",2672,1303,296,1073,223,897,0
1972,"LA","22125",2376,1079,1001,296,1303,296,1073
1976,"LA","22125",2926,1890,990,46,1079,1001,296
1980,"LA","22125",3722,2341,1237,144,1890,990,46
1984,"LA","22125",4426,2296,2097,33,2341,1237,144
1988,"LA","22125",4089,2146,1854,89,2296,2097,33
1992,"LA","22125",4374,2328,1501,545,2146,1854,89
1996,"LA","22125",4506,2416,1616,474,2328,1501,545
2000,"LA","22125",4860,2187,2512,161,2416,1616,474
2004,"LA","22125",5218,2214,2932,72,2187,2512,161
2008,"LA","22125",5620,2415,3150,55,2214,2932,72
2012,"LA","22125",5777,2441,3257,79,2415,3150,55
2016,"LA","22125",5799,2248,3390,161,2441,3257,79
2020,"LA","22125",6268,2298,3863,107,2248,3390,161
1948,"LA","22127",2930,940,333,1657,NA,NA,NA
1952,"LA","22127",4121,2206,1915,0,940,333,1657
1956,"LA","22127",3503,1225,1736,542,2206,1915,0
1960,"LA","22127",4096,1108,1839,1149,1225,1736,542
1964,"LA","22127",5559,1193,4366,0,1108,1839,1149
1968,"LA","22127",6295,1230,1050,4015,1193,4366,0
1972,"LA","22127",6016,1490,4235,291,1230,1050,4015
1976,"LA","22127",6889,3543,3209,137,1490,4235,291
1980,"LA","22127",7547,3411,3944,192,3543,3209,137
1984,"LA","22127",7727,2633,4934,160,3411,3944,192
1988,"LA","22127",7057,2699,4165,193,2633,4934,160
1992,"LA","22127",7549,3537,2932,1080,2699,4165,193
1996,"LA","22127",7463,3779,2803,881,3537,2932,1080
2000,"LA","22127",6361,2167,4028,166,3779,2803,881
2004,"LA","22127",6507,2056,4366,85,2167,4028,166
2008,"LA","22127",6772,2047,4632,93,2056,4366,85
2012,"LA","22127",6534,1919,4541,74,2047,4632,93
2016,"LA","22127",6372,1644,4608,120,1919,4541,74
2020,"LA","22127",6225,1543,4619,63,1644,4608,120
1948,"ME","23001",29062,17405,11443,214,NA,NA,NA
1952,"ME","23001",35609,17560,18049,0,17405,11443,214
1956,"ME","23001",36227,15842,20385,0,17560,18049,0
1960,"ME","23001",40751,26097,14654,0,15842,20385,0
1964,"ME","23001",37521,30080,7441,0,26097,14654,0
1968,"ME","23001",37752,26820,10390,542,30080,7441,0
1972,"ME","23001",38924,19509,19406,9,26820,10390,542
1976,"ME","23001",43665,26484,16330,851,19509,19406,9
1980,"ME","23001",46080,22715,18399,4966,26484,16330,851
1984,"ME","23001",47000,19885,26904,211,22715,18399,4966
1988,"ME","23001",44585,21165,23061,359,19885,26904,211
1992,"ME","23001",55144,22247,14174,18723,21165,23061,359
1996,"ME","23001",46731,26428,12053,8250,22247,14174,18723
2000,"ME","23001",49245,26251,19948,3046,26428,12053,8250
2004,"ME","23001",56067,30503,24519,1045,26251,19948,3046
2008,"ME","23001",54850,31017,22671,1162,30503,24519,1045
2012,"ME","23001",52539,28912,22210,1417,31017,22671,1162
2016,"ME","23001",55340,22975,28189,4176,28912,22210,1417
2020,"ME","23001",58707,27617,29268,1822,22975,28189,4176
1948,"ME","23003",16699,7183,9459,57,NA,NA,NA
1952,"ME","23003",24412,7561,16851,0,7183,9459,57
1956,"ME","23003",22090,6089,16001,0,7561,16851,0
1960,"ME","23003",33497,14799,18698,0,6089,16001,0
1964,"ME","23003",27546,17552,9994,0,14799,18698,0
1968,"ME","23003",29236,15044,13919,273,17552,9994,0
1972,"ME","23003",30547,11474,19051,22,15044,13919,273
1976,"ME","23003",32051,15484,15550,1017,11474,19051,22
1980,"ME","23003",33846,14492,16343,3011,15484,15550,1017
1984,"ME","23003",34338,12348,21837,153,14492,16343,3011
1988,"ME","23003",32246,14850,17213,183,12348,21837,153
1992,"ME","23003",38585,15682,12409,10494,14850,17213,183
1996,"ME","23003",34792,18022,10400,6370,15682,12409,10494
2000,"ME","23003",35143,17196,16555,1392,18022,10400,6370
2004,"ME","23003",37733,19569,17564,600,17196,16555,1392
2008,"ME","23003",35994,19345,15898,751,19569,17564,600
2012,"ME","23003",33866,17844,15229,793,19345,15898,751
2016,"ME","23003",34963,13377,19419,2167,17844,15229,793
2020,"ME","23003",35746,13956,21080,710,13377,19419,2167
1948,"ME","23005",49724,18913,30284,527,NA,NA,NA
1952,"ME","23005",67788,20831,46957,0,18913,30284,527
1956,"ME","23005",69134,19438,49696,0,20831,46957,0
1960,"ME","23005",80824,33553,47271,0,19438,49696,0
1964,"ME","23005",73209,50844,22365,0,33553,47271,0
1968,"ME","23005",78048,44697,32275,1076,50844,22365,0
1972,"ME","23005",84617,33326,51268,23,44697,32275,1076
1976,"ME","23005",98626,47007,48959,2660,33326,51268,23
1980,"ME","23005",107461,47337,45820,14304,47007,48959,2660
1984,"ME","23005",116026,49894,65842,290,47337,45820,14304
1988,"ME","23005",119075,55220,63028,827,49894,65842,290
1992,"ME","23005",141522,60781,45752,34989,55220,63028,827
1996,"ME","23005",129610,69496,42620,17494,60781,45752,34989
2000,"ME","23005",142620,74203,58543,9874,69496,42620,17494
2004,"ME","23005",162962,94846,65384,2732,74203,58543,9874
2008,"ME","23005",164151,105218,56186,2747,94846,65384,2732
2012,"ME","23005",166895,100977,57008,8910,105218,56186,2747
2016,"ME","23005",171249,102935,57697,10617,100977,57008,8910
2020,"ME","23005",193765,128759,59584,5422,102935,57697,10617
1948,"ME","23007",5905,2135,3741,29,NA,NA,NA
1952,"ME","23007",8022,2137,5885,0,2135,3741,29
1956,"ME","23007",7987,1680,6307,0,2137,5885,0
1960,"ME","23007",9440,3304,6136,0,1680,6307,0
1964,"ME","23007",8671,5784,2887,0,3304,6136,0
1968,"ME","23007",8596,4307,4127,162,5784,2887,0
1972,"ME","23007",8960,2988,5958,14,4307,4127,162
1976,"ME","23007",11384,5140,5799,445,2988,5958,14
1980,"ME","23007",12128,4979,5680,1469,5140,5799,445
1984,"ME","23007",13349,4954,8330,65,4979,5680,1469
1988,"ME","23007",13256,5960,7180,116,4954,8330,65
1992,"ME","23007",16523,6739,4608,5176,5960,7180,116
1996,"ME","23007",14596,7759,3757,3080,6739,4608,5176
2000,"ME","23007",15448,7593,6459,1396,7759,3757,3080
2004,"ME","23007",17261,9465,7378,418,7593,6459,1396
2008,"ME","23007",17178,10113,6627,438,9465,7378,418
2012,"ME","23007",16112,9292,6305,515,10113,6627,438
2016,"ME","23007",16382,7001,7900,1481,9292,6305,515
2020,"ME","23007",17390,8069,8754,567,7001,7900,1481
1948,"ME","23009",8789,1878,6863,48,NA,NA,NA
1952,"ME","23009",12707,2111,10596,0,1878,6863,48
1956,"ME","23009",13020,1704,11316,0,2111,10596,0
1960,"ME","23009",15482,3363,12119,0,1704,11316,0
1964,"ME","23009",13719,7415,6304,0,3363,12119,0
1968,"ME","23009",14185,4979,8929,277,7415,6304,0
1972,"ME","23009",16087,4191,11889,7,4979,8929,277
1976,"ME","23009",19647,6725,12064,858,4191,11889,7
1980,"ME","23009",21334,7027,11435,2872,6725,12064,858
1984,"ME","23009",22511,7764,14660,87,7027,11435,2872
1988,"ME","23009",23107,9929,12957,221,7764,14660,87
1992,"ME","23009",28805,10126,8657,10022,9929,12957,221
1996,"ME","23009",26448,12256,8345,5847,10126,8657,10022
2000,"ME","23009",28574,12983,12732,2859,12256,8345,5847
2004,"ME","23009",33122,18048,14405,669,12983,12732,2859
2008,"ME","23009",32165,18895,12686,584,18048,14405,669
2012,"ME","23009",30738,17533,12398,807,18895,12686,584
2016,"ME","23009",31983,16107,13682,2194,17533,12398,807
2020,"ME","23009",35325,19369,14982,974,16107,13682,2194
1948,"ME","23011",25200,11163,13923,114,NA,NA,NA
1952,"ME","23011",33320,12113,21207,0,11163,13923,114
1956,"ME","23011",34511,11483,23028,0,12113,21207,0
1960,"ME","23011",39951,18252,21699,0,11483,23028,0
1964,"ME","23011",36120,24813,11307,0,18252,21699,0
1968,"ME","23011",38292,22283,16009,0,24813,11307,0
1972,"ME","23011",41035,16379,24617,39,22283,16009,0
1976,"ME","23011",47407,23473,22534,1400,16379,24617,39
1980,"ME","23011",49077,20943,21517,6617,23473,22534,1400
1984,"ME","23011",53191,21183,31753,255,20943,21517,6617
1988,"ME","23011",51745,23578,27734,433,21183,31753,255
1992,"ME","23011",63921,25125,17135,21661,23578,27734,433
1996,"ME","23011",55654,30257,15403,9994,25125,17135,21661
2000,"ME","23011",58907,31198,23967,3742,30257,15403,9994
2004,"ME","23011",66772,35616,29761,1395,31198,23967,3742
2008,"ME","23011",65986,37238,27482,1266,35616,29761,1395
2012,"ME","23011",63225,35022,26506,1697,37238,27482,1266
2016,"ME","23011",65999,29296,31753,4950,35022,26506,1697
2020,"ME","23011",71858,34902,34721,2235,29296,31753,4950
1948,"ME","23013",7378,1924,5374,80,NA,NA,NA
1952,"ME","23013",11207,2414,8793,0,1924,5374,80
1956,"ME","23013",10903,2037,8866,0,2414,8793,0
1960,"ME","23013",12899,3816,9083,0,2037,8866,0
1964,"ME","23013",11426,7022,4404,0,3816,9083,0
1968,"ME","23013",11918,5119,6585,214,7022,4404,0
1972,"ME","23013",12079,3601,8478,0,5119,6585,214
1976,"ME","23013",14786,5922,8315,549,3601,8478,0
1980,"ME","23013",15581,5732,7631,2218,5922,8315,549
1984,"ME","23013",17401,6024,11311,66,5732,7631,2218
1988,"ME","23013",17650,7343,10156,151,6024,11311,66
1992,"ME","23013",20338,7631,6310,6397,7343,10156,151
1996,"ME","23013",18883,8839,6192,3852,7631,6310,6397
2000,"ME","23013",20501,9453,8968,2080,8839,6192,3852
2004,"ME","23013",23247,12690,10103,454,9453,8968,2080
2008,"ME","23013",22980,13728,8816,436,12690,10103,454
2012,"ME","23013",22002,13227,8262,513,13728,8816,436
2016,"ME","23013",23021,12440,9148,1433,13227,8262,513
2020,"ME","23013",25734,15110,9982,642,12440,9148,1433
1948,"ME","23015",5880,1095,4743,42,NA,NA,NA
1952,"ME","23015",8065,1299,6766,0,1095,4743,42
1956,"ME","23015",8355,1164,7191,0,1299,6766,0
1960,"ME","23015",9899,2337,7562,0,1164,7191,0
1964,"ME","23015",9083,5099,3984,0,2337,7562,0
1968,"ME","23015",9261,3602,5659,0,5099,3984,0
1972,"ME","23015",10487,2903,7580,4,3602,5659,0
1976,"ME","23015",12797,4818,7554,425,2903,7580,4
1980,"ME","23015",14259,4776,7434,2049,4818,7554,425
1984,"ME","23015",15236,4869,10312,55,4776,7434,2049
1988,"ME","23015",15920,5939,9837,144,4869,10312,55
1992,"ME","23015",19036,6714,6405,5917,5939,9837,144
1996,"ME","23015",18173,8130,6372,3671,6714,6405,5917
2000,"ME","23015",19671,8634,9457,1580,8130,6372,3671
2004,"ME","23015",22142,11351,10370,421,8634,9457,1580
2008,"ME","23015",21584,11886,9287,411,11351,10370,421
2012,"ME","23015",20668,11298,8884,486,11886,9287,411
2016,"ME","23015",21432,10241,9727,1464,11298,8884,486
2020,"ME","23015",23594,12684,10256,654,10241,9727,1464
1948,"ME","23017",12754,5183,7444,127,NA,NA,NA
1952,"ME","23017",17332,5757,11575,0,5183,7444,127
1956,"ME","23017",17260,4653,12607,0,5757,11575,0
1960,"ME","23017",20666,8951,11715,0,4653,12607,0
1964,"ME","23017",18956,13616,5340,0,8951,11715,0
1968,"ME","23017",19275,10870,8030,375,13616,5340,0
1972,"ME","23017",18823,6661,12114,48,10870,8030,375
1976,"ME","23017",21516,10340,10551,625,6661,12114,48
1980,"ME","23017",23474,9914,11041,2519,10340,10551,625
1984,"ME","23017",23948,8430,15408,110,9914,11041,2519
1988,"ME","23017",24266,10523,13568,175,8430,15408,110
1992,"ME","23017",29356,11202,8194,9960,10523,13568,175
1996,"ME","23017",26091,13580,7238,5273,11202,8194,9960
2000,"ME","23017",27493,13649,11835,2009,13580,7238,5273
2004,"ME","23017",31546,16618,14196,732,13649,11835,2009
2008,"ME","23017",31650,17940,12863,847,16618,14196,732
2012,"ME","23017",28734,16052,11766,916,17940,12863,847
2016,"ME","23017",31094,12172,16214,2708,16052,11766,916
2020,"ME","23017",33492,14755,17698,1039,12172,16214,2708
1948,"ME","23019",27224,10705,16367,152,NA,NA,NA
1952,"ME","23019",35836,11222,24614,0,10705,16367,152
1956,"ME","23019",36374,8568,27806,0,11222,24614,0
1960,"ME","23019",47634,19175,28459,0,8568,27806,0
1964,"ME","23019",43215,28766,14449,0,19175,28459,0
1968,"ME","23019",44999,24988,20011,0,28766,14449,0
1972,"ME","23019",48749,18552,30186,11,24988,20011,0
1976,"ME","23019",55613,24672,29016,1925,18552,30186,11
1980,"ME","23019",62793,26519,28869,7405,24672,29016,1925
1984,"ME","23019",65054,24445,40403,206,26519,28869,7405
1988,"ME","23019",63754,28429,34912,413,24445,40403,206
1992,"ME","23019",80444,29485,24218,26741,28429,34912,413
1996,"ME","23019",70517,35961,22885,11671,29485,24218,26741
2000,"ME","23019",73206,32868,35620,4718,35961,22885,11671
2004,"ME","23019",82112,40417,40318,1377,32868,35620,4718
2008,"ME","23019",80367,41514,37495,1358,40417,40318,1377
2012,"ME","23019",77171,38816,36592,1763,41514,37495,1358
2016,"ME","23019",80228,32832,41601,5795,38816,36592,1763
2020,"ME","23019",85269,37713,44825,2731,32832,41601,5795
1948,"ME","23021",5433,2181,3227,25,NA,NA,NA
1952,"ME","23021",6913,2261,4652,0,2181,3227,25
1956,"ME","23021",6877,1541,5336,0,2261,4652,0
1960,"ME","23021",7818,2859,4959,0,1541,5336,0
1964,"ME","23021",7254,4781,2473,0,2859,4959,0
1968,"ME","23021",6918,3719,3199,0,4781,2473,0
1972,"ME","23021",7136,2518,4617,1,3719,3199,0
1976,"ME","23021",8090,3727,4084,279,2518,4617,1
1980,"ME","23021",8555,3550,4015,990,3727,4084,279
1984,"ME","23021",8482,3016,5427,39,3550,4015,990
1988,"ME","23021",8217,3323,4788,106,3016,5427,39
1992,"ME","23021",10031,3323,2970,3738,3323,4788,106
1996,"ME","23021",8920,4343,2815,1762,3323,2970,3738
2000,"ME","23021",9256,3745,4845,666,4343,2815,1762
2004,"ME","23021",9940,4409,5299,232,3745,4845,666
2008,"ME","23021",9434,4430,4785,219,4409,5299,232
2012,"ME","23021",8990,4168,4577,245,4430,4785,219
2016,"ME","23021",9144,3098,5403,643,4168,4577,245
2020,"ME","23021",9908,3517,6143,248,3098,5403,643
1948,"ME","23023",6362,2556,3745,61,NA,NA,NA
1952,"ME","23023",8649,2850,5799,0,2556,3745,61
1956,"ME","23023",8502,2301,6201,0,2850,5799,0
1960,"ME","23023",10351,3965,6386,0,2301,6201,0
1964,"ME","23023",9739,7006,2733,0,3965,6386,0
1968,"ME","23023",9888,5553,4126,209,7006,2733,0
1972,"ME","23023",9890,3414,6463,13,5553,4126,209
1976,"ME","23023",11876,5529,5988,359,3414,6463,13
1980,"ME","23023",13145,5663,5946,1536,5529,5988,359
1984,"ME","23023",14520,5208,9222,90,5663,5946,1536
1988,"ME","23023",15158,6212,8825,121,5208,9222,90
1992,"ME","23023",18513,6828,5917,5768,6212,8825,121
1996,"ME","23023",16924,8417,5346,3161,6828,5917,5768
2000,"ME","23023",18406,8844,8052,1510,8417,5346,3161
2004,"ME","23023",21079,11107,9497,475,8844,8052,1510
2008,"ME","23023",21301,12152,8721,428,11107,9497,475
2012,"ME","23023",20734,11821,8429,484,12152,8721,428
2016,"ME","23023",21596,10679,9304,1613,11821,8429,484
2020,"ME","23023",24038,13528,9755,755,10679,9304,1613
1948,"ME","23025",10398,4034,6301,63,NA,NA,NA
1952,"ME","23025",14620,4815,9805,0,4034,6301,63
1956,"ME","23025",14590,4119,10471,0,4815,9805,0
1960,"ME","23025",17098,6956,10142,0,4119,10471,0
1964,"ME","23025",15235,10694,4541,0,6956,10142,0
1968,"ME","23025",15356,8312,6720,324,10694,4541,0
1972,"ME","23025",16005,5921,10079,5,8312,6720,324
1976,"ME","23025",18966,9465,8868,633,5921,10079,5
1980,"ME","23025",19513,8115,9286,2112,9465,8868,633
1984,"ME","23025",20771,7657,13010,104,8115,9286,2112
1988,"ME","23025",20201,8603,11430,168,7657,13010,104
1992,"ME","23025",26424,9274,6780,10370,8603,11430,168
1996,"ME","23025",23111,11773,6247,5091,9274,6780,10370
2000,"ME","23025",23951,11538,10684,1729,11773,6247,5091
2004,"ME","23025",27108,13555,12953,600,11538,10684,1729
2008,"ME","23025",25758,13335,11867,556,13555,12953,600
2012,"ME","23025",24705,12211,11798,696,13335,11867,556
2016,"ME","23025",25968,9092,14998,1878,12211,11798,696
2020,"ME","23025",27578,10199,16644,735,9092,14998,1878
1948,"ME","23027",5869,1469,4371,29,NA,NA,NA
1952,"ME","23027",7908,1545,6363,0,1469,4371,29
1956,"ME","23027",7974,1384,6590,0,1545,6363,0
1960,"ME","23027",9689,2845,6844,0,1384,6590,0
1964,"ME","23027",8721,5397,3324,0,2845,6844,0
1968,"ME","23027",8580,3759,4821,0,5397,3324,0
1972,"ME","23027",9422,2941,6480,1,3759,4821,0
1976,"ME","23027",11633,4853,6289,491,2941,6480,1
1980,"ME","23027",13140,4883,6514,1743,4853,6289,491
1984,"ME","23027",14166,5289,8814,63,4883,6514,1743
1988,"ME","23027",14778,6402,8236,140,5289,8814,63
1992,"ME","23027",18529,6472,5241,6816,6402,8236,140
1996,"ME","23027",17279,8012,5318,3949,6472,5241,6816
2000,"ME","23027",19138,8477,8689,1972,8012,5318,3949
2004,"ME","23027",22318,11555,10309,454,8477,8689,1972
2008,"ME","23027",21850,11967,9423,460,11555,10309,454
2012,"ME","23027",20976,11292,9055,629,11967,9423,460
2016,"ME","23027",22630,10442,10378,1810,11292,9055,629
2020,"ME","23027",24320,12345,11196,779,10442,10378,1810
1948,"ME","23029",8722,3538,5130,54,NA,NA,NA
1952,"ME","23029",11202,3806,7396,0,3538,5130,54
1956,"ME","23029",10736,2555,8181,0,3806,7396,0
1960,"ME","23029",13834,4716,9118,0,2555,8181,0
1964,"ME","23029",13128,9312,3816,0,4716,9118,0
1968,"ME","23029",11980,6249,5523,208,9312,3816,0
1972,"ME","23029",11574,3742,7820,12,6249,5523,208
1976,"ME","23029",14235,6644,7039,552,3742,7820,12
1980,"ME","23029",14788,6050,7180,1558,6644,7039,552
1984,"ME","23029",15081,5308,9713,60,6050,7180,1558
1988,"ME","23029",13828,5831,7872,125,5308,9713,60
1992,"ME","23029",17765,6284,5493,5988,5831,7872,125
1996,"ME","23029",15189,7198,4793,3198,6284,5493,5988
2000,"ME","23029",15708,6701,7958,1049,7198,4793,3198
2004,"ME","23029",17310,8391,8619,300,6701,7958,1049
2008,"ME","23029",16654,8246,8077,331,8391,8619,300
2012,"ME","23029",15756,7797,7539,420,8246,8077,331
2016,"ME","23029",16559,6358,9037,1164,7797,7539,420
2020,"ME","23029",17357,6761,10194,402,6358,9037,1164
1948,"ME","23031",38635,20554,17819,262,NA,NA,NA
1952,"ME","23031",47569,20524,27045,0,20554,17819,262
1956,"ME","23031",47166,17910,29256,0,20524,27045,0
1960,"ME","23031",51934,26171,25763,0,17910,29256,0
1964,"ME","23031",47422,34083,13339,0,26171,25763,0
1968,"ME","23031",48652,28817,18931,904,34083,13339,0
1972,"ME","23031",52936,22464,30452,20,28817,18931,904
1976,"ME","23031",60916,31996,27380,1540,22464,30452,20
1980,"ME","23031",67837,28279,31412,8146,31996,27380,1540
1984,"ME","23031",72070,28241,43554,275,28279,31412,8146
1988,"ME","23031",77249,30262,46334,653,28241,43554,275
1992,"ME","23031",94563,35507,32241,26815,30262,46334,653
