id	parliament	year	candidate_name	edate	birth_year	country_birth	occupation	riding_id	riding	province	votes	percent_votes	party_raw	party_minor_group	party_major_group	gov_party_raw	gov_minor_group	gov_major_group	num_candidates	type_elxn	elected	incumbent	gender	lgbtq2_out	indigenousorigins	lawyer	censuscategory	acclaimed	switcher	multiple_candidacy
4857	14	1921	"D'ANJOU, J.-E.-S.-Emmanuel"	"1921-12-06"	1884		"insurance agent"		"RIMOUSKI"	"Quebec"	6363	83.61366	"Liberal"	"Liberal"	"Liberal"	"Liberal Party of Canada"	"Liberal"	"Liberal"	2	1	1	1	0		0	0	1	0	0	0
23425	14	1921	"MCNEIL, Walter"	"1921-12-06"			"lumber merchant"		"ANTIGONISH--GUYSBOROUGH"	"Nova Scotia"	3356	28.779694	"Conservative"	"Conservative"	"Conservative"	"Liberal Party of Canada"	"Liberal"	"Liberal"	3	1	0	0	0		0	0	9	0	0	0
2824	14	1921	"BUREAU, Hon. Jacques"	"1921-12-06"	1860		"lawyer"		"THREE RIVERS AND ST. MAURICE"	"Quebec"	13995	67.66427	"Liberal"	"Liberal"	"Liberal"	"Liberal Party of Canada"	"Liberal"	"Liberal"	2	1	1	1	0		0	1	4	0	0	0
30335	14	1921	"VIEN, Thomas"	"1921-12-06"	1881		"lawyer"		"LOTBINI�����RE"	"Quebec"	5179	68.60511	"Liberal"	"Liberal"	"Liberal"	"Liberal Party of Canada"	"Liberal"	"Liberal"	2	1	1	1	0		0	1	4	0	0	0
8935	14	1921	"HANSON, Richard Burpee"	"1921-12-06"	1879		"barrister"		"YORK--SUNBURY"	"New Brunswick"	7777	52.947987	"Conservative"	"Conservative"	"Conservative"	"Liberal Party of Canada"	"Liberal"	"Liberal"	2	1	1	1	0		0	1	4	0	0	0
16064	14	1921	"KERR, Charles Wesley"	"1921-12-06"			"barrister"		"NORTHUMBERLAND"	"Ontario"	1778	12.095238	"Liberal"	"Liberal"	"Liberal"	"Liberal Party of Canada"	"Liberal"	"Liberal"	3	1	0	0	0		0	1	4	0	0	0
20201	14	1921	"LAFLAMME, Joseph Napol�����on Kemner"	"1921-12-06"	1868		"lawyer"		"DRUMMOND--ARTHABASKA"	"Quebec"	10280	64.90308	"Liberal"	"Liberal"	"Liberal"	"Liberal Party of Canada"	"Liberal"	"Liberal"	4	1	1	0	0		0	1	4	0	0	0
31316	14	1921	"WOODSWORTH, James Shaver"	"1921-12-06"	1874		"secretary"		"WINNIPEG CENTRE"	"Manitoba"	7774	40.125942	"Labour"	"Labour"	"Third_Party"	"Liberal Party of Canada"	"Liberal"	"Liberal"	5	1	1	0	0		0	0	1	0	0	0
1721	14	1921	"BLACK, William"	"1921-12-06"	1869		"farmer"		"HURON SOUTH"	"Ontario"	4105	33.838924	"Progressive"	"Progressive"	"Progressive"	"Liberal Party of Canada"	"Liberal"	"Liberal"	3	1	1	0	0		0	0	8	0	0	0
20242	14	1921	"LAFORTUNE, Sylvio"	"1921-12-06"			"physician"		"HULL"	"Quebec"	2510	17.3008	"Progressive"	"Progressive"	"Progressive"	"Liberal Party of Canada"	"Liberal"	"Liberal"	2	1	0	0	0		0	0	3	0	0	0
820	14	1921	"BANNERMAN, Alexander Melville"	"1921-12-06"			"farmer"		"PORTAGE LA PRAIRIE"	"Manitoba"	139	1.6181606	"Independent"	"Independent"	"Independent"	"Liberal Party of Canada"	"Liberal"	"Liberal"	3	1	0	0	0		0	0	8	0	0	0
